HS Thickness (mm),LS Thickness (mm),Selective Layer Thickness (mm),Total Thickness (mm),HS Conductivity (S/m),LS Conductivity (S/m),CS Conductivity (S/m),AS Conductivity (S/m),CS Fixed Charge (mol m-3),AS Fixed Charge (mol m-3),Combined Parameter B (mol m-3),HS Concentration (mol m-3),LS Concentration (mol m-3),Combined Parameter A (mol m-3),Cation Transference Number,Charge Transfer Resistance (ohms),Current Density (A),,Capacity Retention D1D2,Capacity Retention D1D5,Capacity Retention D2D10,Coulombic Efficiency C1D2,Coulombic Efficiency C5D6,Coulombic Efficiency C9D10,Voltage Efficiency C1D2,Voltage Efficiency C5D6,Voltage Efficiency C9D10,Energy Efficiency C1D2,Energy Efficiency C5D6,Energy Efficiency C9D10,Maximum Potential D1 (V),Discharge Duration D1 (h),Average Power Density D1 (W m-3),Maximum Power Density D1 (W m-3),Energy Density D1 (Wh m-3)
1.8,0.9,1.8,8.1,8.12,0.0172,0.746,0.624,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,5.00E-05,,0.618655832,0.539367589,0.820058345,1.396473785,1.206444805,1.091381491,0.219999106,0.216098986,0.22174915,0.307222984,0.260711499,0.242012918,0.206781908,8.27,1.072159273,5.016058951,8.851794863
1.8,1.8,0.18,5.76,8.12,0.0172,0.746,0.624,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,5.00E-05,,0.61512667,0.517002544,0.750338642,1.604150007,1.062192451,1.007024843,0.210332147,0.240565656,0.236740402,0.337404315,0.255527024,0.238403466,0.18837352,21.22,1.094966279,6.425878112,23.21315354
1.8,1.8,0.9,7.2,8.12,0.0172,0.746,0.624,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,5.00E-05,,0.634199516,0.550783577,0.805556388,1.476430121,1.054129009,1.123157921,0.21740198,0.234289564,0.216672584,0.320978831,0.246971426,0.243357529,0.196649144,10.51,1.045922613,5.366543769,10.97559239
1.8,1.8,1.8,9,8.12,0.0172,0.746,0.624,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,5.00E-05,,0.540382452,0.485052757,0.845361253,1.094782209,1.202856466,1.099839892,0.236927625,0.212955555,0.220502695,0.259384149,0.256154967,0.24251766,0.196307902,6.18,1.153044486,4.285785034,7.115377132
3.6,0.9,0.18,8.46,8.12,0.0172,0.746,0.624,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,5.00E-05,,0.578727089,0.468325676,0.709803749,1.601331609,1.048829673,1.093185575,0.21329359,0.239960142,0.224704339,0.341553768,0.251677317,0.245643543,0.198752845,69.29,0.740181134,4.616130782,51.27089164
3.6,0.9,0.9,9.9,8.12,0.0172,0.746,0.624,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,5.00E-05,,0.584689294,0.498595228,0.769021667,1.256716531,1.149826667,1.125244495,0.249780396,0.224926284,0.218924112,0.313903153,0.25862624,0.246343152,0.207028316,42.25,0.646254068,4.108938758,27.28965654
3.6,0.9,1.8,11.7,8.12,0.0172,0.746,0.624,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,5.00E-05,,0.598539264,0.5226789,0.807643359,1.24476523,1.212449805,1.168443647,0.247306444,0.215452419,0.212737695,0.307838462,0.261225244,0.248572008,0.20668707,24.69,0.629684874,3.4710635,15.535442
3.6,1.8,0.18,9.36,8.12,0.0172,0.746,0.624,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,5.00E-05,,0.59451203,0.488682243,0.737413894,1.585944935,1.063458673,1.095619463,0.213258161,0.236538463,0.223525181,0.338215701,0.25154888,0.244898539,0.188279476,48,0.673031553,3.952412335,32.29195804
3.6,1.8,0.9,10.8,8.12,0.0172,0.746,0.624,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,5.00E-05,,0.608338526,0.516627107,0.781060592,1.50127275,1.059818648,1.166023651,0.220450389,0.23702858,0.214187567,0.330956162,0.251207309,0.249747769,0.196554679,30.25,0.630498888,3.575977221,19.06056163
3.6,1.8,1.8,12.6,8.12,0.0172,0.746,0.624,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,5.00E-05,,0.608588023,0.523805559,0.8049865,1.559090335,1.05886009,1.1484371,0.20905201,0.236616754,0.216805456,0.325930968,0.250544038,0.248987429,0.196213437,18.8,0.661602581,3.059801915,12.42905597
